vocab_id,syllabus_form,hanzi,pinyin,part_of_speech_zh,active_exact_sentence_count,active_exact_card_count,approved_active_context_count,legacy_unreviewed_active_context_count,other_active_context_count,deficit_to_2,deficit_to_3,surplus_above_3,at_least_one,at_least_two,at_least_three,active_open_issue_count,active_open_issue_ids,active_sentence_ids,active_card_ids
hsk26-v00501,阿姨,阿姨,āyí,名,2,2,0,2,0,0,1,0,True,True,False,0,,hsk3_sent_aug_seed_144|hsk3_sent_en_zh_023,hsk3_sent_aug_seed_144|hsk3_sent_en_zh_023
hsk26-v00502,矮,矮,ǎi,形,2,2,0,2,0,0,1,0,True,True,False,0,,hsk3_sent_aug_dense_0007|hsk3_sent_aug_dense_0127,hsk3_sent_aug_dense_0007|hsk3_sent_aug_dense_0127
hsk26-v00503,爱人,爱人,àiren,名,2,2,0,2,0,0,1,0,True,True,False,0,,hsk3_sent_aug_dense_0021|hsk3_sent_aug_dense_0062,hsk3_sent_aug_dense_0021|hsk3_sent_aug_dense_0062
hsk26-v00504,安静,安静,ānjìng,形,3,3,2,1,0,0,0,0,True,True,True,0,,hsk3_sent_zh_en_025|sent_29a1c5b94e3c4e62b5eb0765f6038b21|sent_c6db7da00adf462ea4f34df74104a4fb,hsk3_sent_zh_en_025|scard_11a2ab4fd81e475295e23ba04602689f|scard_fb4744f7461248eab03b0102270b7f9e
hsk26-v00505,安全,安全,ānquán,形,4,4,1,3,0,0,0,1,True,True,True,0,,hsk3_sent_aug_dense_0017|hsk3_sent_aug_dense_0062|hsk3_sent_aug_dense_0194|sent_21c1b976d39046d9b6b10ecc64cb798f,hsk3_sent_aug_dense_0017|hsk3_sent_aug_dense_0062|hsk3_sent_aug_dense_0194|scard_ef4c05a1c99d4b658951f28a501114d8
hsk26-v00506,把,把,bǎ,量、介,29,29,8,21,0,0,0,26,True,True,True,0,,hsk3_sent_aug_dense_0190|hsk3_sent_aug_seed_157|hsk3_sent_en_zh_023|hsk3_sent_en_zh_036|hsk3_sent_en_zh_048|hsk3_sent_en_zh_055|hsk3_sent_en_zh_059|hsk3_sent_zh_en_012|hsk3_sent_zh_en_015|hsk3_sent_zh_en_023|hsk3_sent_zh_en_033|hsk3_sent_zh_en_037|hsk3_sent_zh_en_041|hsk3_sent_zh_en_043|hsk3_sent_zh_en_045|hsk3_sent_zh_en_047|hsk3_sent_zh_en_061|hsk3_sent_zh_en_066|hsk3_sent_zh_en_069|hsk3_sent_zh_qa_019|hsk3_sent_zh_qa_036|sent_09f0bcd435d042aba72e3c90c8a0e54a|sent_162dcb2633a4487f8ab705a95f67732c|sent_8a87528a71a944379fe2c522b324f9b5|sent_a3699d352816419b96690cae0c22cebb|sent_cce8178925804c16823b3168785526ba|sent_d6758fb08e4d493ba5bce57b6ffbb705|sent_ef70e0e0ff0d4608859cfb34a8ee7e61|sent_fd47a36fe84b4149b7056edcb7c3752b,hsk3_sent_aug_dense_0190|hsk3_sent_aug_seed_157|hsk3_sent_en_zh_023|hsk3_sent_en_zh_036|hsk3_sent_en_zh_048|hsk3_sent_en_zh_055|hsk3_sent_en_zh_059|hsk3_sent_zh_en_012|hsk3_sent_zh_en_015|hsk3_sent_zh_en_023|hsk3_sent_zh_en_033|hsk3_sent_zh_en_037|hsk3_sent_zh_en_041|hsk3_sent_zh_en_043|hsk3_sent_zh_en_045|hsk3_sent_zh_en_047|hsk3_sent_zh_en_061|hsk3_sent_zh_en_066|hsk3_sent_zh_en_069|hsk3_sent_zh_qa_019|hsk3_sent_zh_qa_036|scard_14734cfd4eb34f2f8d3003e81dd3b758|scard_209451aef29c4996993e0d0434c3ac1c|scard_3363ceedc88c4dc487d3ee1061d20420|scard_56848e2ae0d345e8882b52d1b912a946|scard_9fcfb6e16a8b440b9c0e996d81108a51|scard_ba43d849dcf84666933d52c422d0fb94|scard_c617d3bdbfe84f71b65cfef40213bb5a|scard_e588791221e24ffcb77bf176db58c473
hsk26-v00507,搬,搬,bān,动,6,6,2,4,0,0,0,3,True,True,True,0,,hsk3_sent_aug_dense_0004|hsk3_sent_aug_dense_0021|hsk3_sent_aug_dense_0134|hsk3_sent_zh_en_047|sent_71bbaa36b8ed42c88d8833bd79f213d5|sent_e1cbeb9cd8ef4db0b61f7d1c3521f92f,hsk3_sent_aug_dense_0004|hsk3_sent_aug_dense_0021|hsk3_sent_aug_dense_0134|hsk3_sent_zh_en_047|scard_11c1fd227558416bae7802a0f1261df1|scard_e10c7bc9fac547d1865d689fb3f1f0ca
hsk26-v00508,班级,班级,bānjí,名,3,3,2,1,0,0,0,0,True,True,True,0,,hsk3_sent_aug_dense_0222|sent_2efd94997d084c51b391c495925fab66|sent_6bfcd05562c046b9b565973ab3b01bdd,hsk3_sent_aug_dense_0222|scard_413719037f904285b58c9872aaeeb66f|scard_8558be8231bf4adfb22d5e9dd2c2778c
hsk26-v00509,搬家,搬家,bānjiā,动,2,2,0,2,0,0,1,0,True,True,False,0,,hsk3_sent_aug_dense_0021|hsk3_sent_aug_dense_0134,hsk3_sent_aug_dense_0021|hsk3_sent_aug_dense_0134
hsk26-v00510,办,办,bàn,动,3,3,0,3,0,0,0,0,True,True,True,0,,hsk3_sent_aug_dense_0006|hsk3_sent_aug_dense_0222|hsk3_sent_zh_en_034,hsk3_sent_aug_dense_0006|hsk3_sent_aug_dense_0222|hsk3_sent_zh_en_034
hsk26-v00511,办法,办法,bànfǎ,名,5,5,4,1,0,0,0,2,True,True,True,0,,hsk3_sent_zh_en_058|sent_1c1419c246e44007a95aabd9d3e819e9|sent_76db34f4150f422a9ea06d3a19218b0f|sent_bdef322cd03c4c6db5dafa4f56b7ddb8|sent_db8b676bc67845278b2fb5dc18e64d9f,hsk3_sent_zh_en_058|scard_1cd8775bf93941c7aaaaf53bc344f5c2|scard_5f73529592784506beb86fa1d9d226fd|scard_a9b3721388cf427190391f81eac73040|scard_b8d4bc981b4344b6b5aa771ed974dd40
hsk26-v00512,办公室,办公室,bàngōngshì,名,3,3,0,3,0,0,0,0,True,True,True,0,,hsk3_sent_aug_dense_0246|hsk3_sent_aug_seed_144|hsk3_sent_en_zh_011,hsk3_sent_aug_dense_0246|hsk3_sent_aug_seed_144|hsk3_sent_en_zh_011
hsk26-v00513,半天,半天,bàntiān,数量,2,2,0,2,0,0,1,0,True,True,False,0,,hsk3_sent_aug_dense_0021|hsk3_sent_aug_dense_0134,hsk3_sent_aug_dense_0021|hsk3_sent_aug_dense_0134
hsk26-v00514,帮助,帮助,bāngzhù,动,3,3,0,3,0,0,0,0,True,True,True,0,,hsk3_sent_aug_dense_0084|hsk3_sent_aug_dense_0305|hsk3_sent_aug_seed_144,hsk3_sent_aug_dense_0084|hsk3_sent_aug_dense_0305|hsk3_sent_aug_seed_144
hsk26-v00515,饱,饱,bǎo,形,2,2,0,2,0,0,1,0,True,True,False,0,,hsk3_sent_aug_dense_0100|hsk3_sent_aug_seed_151,hsk3_sent_aug_dense_0100|hsk3_sent_aug_seed_151
